Family ID,PAS Legacy Id,Id_Font_Family_to_Digital_Assets_Production,DAMStatus_Font_Family_to_Digital_Assets_Production,Public URL_DAMMaster_to_DAMLink,IsActive_DAMMaster_to_DAMLink,IsPublic_DAMMaster_to_DAMLink,FilePath_DAMMaster_to_DAMLink,Image Priority_Font_Family_to_Digital_Assets_Production
46079,1479858,123456157831,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/276064_9b369dba9628880ce563f9d60f6f609f.png,Y,Yes,10000/276064_9b369dba9628880ce563f9d60f6f609f.png,1
46079,1479858,123456157834,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/276065_530511b45bd2f54573c39ce80fef11fd.png,Y,Yes,10000/276065_530511b45bd2f54573c39ce80fef11fd.png,2
46079,1479858,123456157836,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/276066_03e00e2583afb8aa5c4a116f2c63c08f.png,Y,Yes,10000/276066_03e00e2583afb8aa5c4a116f2c63c08f.png,3
46254,1479857,123456160052,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278559_58abcdd81497767f7e8e9cbbb6fa6922.png,Y,Yes,10000/278559_58abcdd81497767f7e8e9cbbb6fa6922.png,2
46254,1479857,123456160057,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278560_acaf8364b28a26a5bc42589fd7e0ab21.png,Y,Yes,10000/278560_acaf8364b28a26a5bc42589fd7e0ab21.png,3
46254,1479857,123456160063,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278561_0664ada300a673c7cb28aa4f0bb48f50.png,Y,Yes,10000/278561_0664ada300a673c7cb28aa4f0bb48f50.png,4
46260,910046260,123456160037,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278555_7bfc642873d879fd90249151fa18a1d9.png,Y,Yes,10000/278555_7bfc642873d879fd90249151fa18a1d9.png,2
46260,910046260,123456160042,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278556_14a2342d9f5510cb4a8736da82e58da8.png,Y,Yes,10000/278556_14a2342d9f5510cb4a8736da82e58da8.png,3
46260,910046260,123456160047,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278557_3ca400f4aacb33a0acf45e40a58d3e10.png,Y,Yes,10000/278557_3ca400f4aacb33a0acf45e40a58d3e10.png,4
46266,910046266,123456159532,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278357_00f0ad64c36c127a9b0827e967bfd93f.png,Y,Yes,10000/278357_00f0ad64c36c127a9b0827e967bfd93f.png,2
46266,910046266,123456159537,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278358_6e4e1a8e133cc4d3d4aecba46d568dd1.png,Y,Yes,10000/278358_6e4e1a8e133cc4d3d4aecba46d568dd1.png,3
46266,910046266,123456159542,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278359_d60f4a749104c79fc0cc28446e9ba7e6.png,Y,Yes,10000/278359_d60f4a749104c79fc0cc28446e9ba7e6.png,4
46271,910046271,123456159547,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278361_f966dbff7a02797405a72fe0e41ee9df.png,Y,Yes,10000/278361_f966dbff7a02797405a72fe0e41ee9df.png,2
46271,910046271,123456159552,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278362_a3e53c12c5a2756c3d25987d0da801cf.png,Y,Yes,10000/278362_a3e53c12c5a2756c3d25987d0da801cf.png,3
46271,910046271,123456159560,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278363_cf994ce05855437cff97f5ff7d4ff79e.png,Y,Yes,10000/278363_cf994ce05855437cff97f5ff7d4ff79e.png,4
46320,1212140,123456159863,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278479_97cc80eb73cfb1414a0485a93c0c417f.png,Y,Yes,10000/278479_97cc80eb73cfb1414a0485a93c0c417f.png,2
46320,1212140,123456159868,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278480_66f398e8a8f23c35fa93f5616795cb7c.png,Y,Yes,10000/278480_66f398e8a8f23c35fa93f5616795cb7c.png,3
46320,1212140,123456159873,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278481_00b446141e8091dc09e82c81cb34150c.png,Y,Yes,10000/278481_00b446141e8091dc09e82c81cb34150c.png,4
46338,1479875,123456160218,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278606_d5e66dbba403e958a05e9779e4afbe1b.png,Y,Yes,10000/278606_d5e66dbba403e958a05e9779e4afbe1b.png,2
46338,1479875,123456160223,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278607_55352fa09a55c343e006e12727e3e59b.png,Y,Yes,10000/278607_55352fa09a55c343e006e12727e3e59b.png,3
46338,1479875,123456160229,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278608_d5ed1df2cc24d6c5f966e7bdc991517e.png,Y,Yes,10000/278608_d5ed1df2cc24d6c5f966e7bdc991517e.png,4
46373,1212166,123456160810,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278827_c28d89aaea1fc5f01e9ad3f27efa767f.png,Y,Yes,10000/278827_c28d89aaea1fc5f01e9ad3f27efa767f.png,2
46373,1212166,123456160815,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278828_421c0837a62fbe93ab1eb3bec1678f52.png,Y,Yes,10000/278828_421c0837a62fbe93ab1eb3bec1678f52.png,3
46373,1212166,123456160820,Active,https://monotype-dam-prod-public.s3.amazonaws.com/DAMRoot/Original/10000/278829_41a83bc4e40def83ae784b2807c2b52f.png,Y,Yes,10000/278829_41a83bc4e40def83ae784b2807c2b52f.png,4
